FOODCODE,DESCRIPTION,F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks)
55100030,"Pancakes, whole grain, from frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,1.13,1,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0.12,0.12,0,0,0,5.52,1.45,0
55100035,"Pancakes, whole grain, reduced fat, from frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13,1.13,1,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0.12,0.12,0,0,0,5.52,1.45,0
55100040,"Pancakes, gluten free, from frozen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,1.56,0.5,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,3.27,0,0.82,0
55100050,"Pancakes, plain, from fast food / restaurant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24,0,2.24,0.27,0,0,0,0,0,0,0,0.27,0,0,0,0.23,0.23,0,0,10.72,2.94,0.93,0
55100055,"Pancakes, with fruit, from fast food / restaurant",0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,1.75,0.21,0,0,0,0,0,0,0,0.21,0,0,0,0.18,0.18,0,0,8.38,2.3,0.73,0
55100060,"Pancakes, with chocolate, from fast food / restaurant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,1.87,0.23,0,0,0,0,0,0,0,0.23,0,0,0,0.22,0.22,0,0,8.95,7.93,2.8,0
55100065,"Pancakes, whole grain, from fast food / restaurant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,1.08,1.03,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0.21,0.21,0,0,11.05,3.03,0.94,0
55100070,"Pancakes, whole grain and nuts, from fast food / restaurant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89,0.97,0.92,1.14,0,0,0,0,0,0,0,0.25,0,0.89,0,0.18,0.18,0,0,16.58,2.71,0.84,0
55100080,"Pancakes, from school, NFS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,2.43,0.08,0,0,0,0,0,0,0,0.08,0,0,0,0.11,0.11,0,0,0,5.12,1.34,0
55101000,"Pancakes, plain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,0,2.32,0.28,0,0,0,0,0,0,0,0.28,0,0,0,0.24,0.24,0,0,7.14,3.04,0.97,0
